number,floor,single_or_double,faces,area,common_room_access
B1,0,d,e,180,0
B2,0,d,e,175,0
B3,0,d,s,160,0
B4,0,s,s,160,0
B11,0,d,n,370,0
B12,0,d,n,200,0
B13,0,d,n,200,0
B14,0,s,"n,e",160,0
B15,0,s,e,160,0
N11,1,s,n,105,1
N12,1,s,n,105,1
N13,1,s,"n,e",160,1
N14,1,s,e,95,1
N15,1,s,s,95,1
C10,1,s,w,145,1
C11,1,s,w,160,1
C12,1,s,e,115,1
C14,1,s,e,115,1
S11,1,s,s,95,1
S12,1,s,s,100,1
S13,1,s,"s,e",180,1
S14,1,s,e,95,1
S15,1,s,n,95,1
S16,1,s,n,100,1
N20,2,s,"n,w",155,1
N21,2,s,n,105,1
N22,2,s,n,105,1
N23,2,s,"n,e",155,1
N24,2,s,e,95,1
N25,2,s,s,95,1
C20,2,s,w,135,1
C21,2,s,w,130,1
C22,2,s,w,135,1
C23,2,s,e,115,1
C24,2,s,e,110,1
C25,2,s,e,115,1
S20,2,s,"s,w",155,1
S21,2,s,s,105,1
S22,2,s,s,105,1
S23,2,s,"s,e",155,1
S24,2,s,e,95,1
S25,2,s,n,95,1
N30,3,s,"n,w",170,1
N31,3,s,n,110,1
N32,3,s,n,110,1
N33,3,s,"n,e",160,1
N34,3,s,e,100,1
N35,3,s,s,95,1
C30,3,s,w,130,1
C31,3,s,w,140,1
C32,3,s,w,135,1
C33,3,s,w,135,1
C34,3,s,w,130,1
C35,3,s,e,120,1
C36,3,s,e,115,1
C37,3,s,e,115,1
S30,3,s,"s,w",160,1
S31,3,s,s,110,1
S32,3,s,s,110,1
S33,3,s,"s,e",165,1
S34,3,s,e,100,1
S35,3,s,n,100,1
