number,floor,single_or_double,faces,area,common_room_access
118,1,s,n,173,1
119,1,s,"s,w",194,1
120,1,d,"n,w",232,1
201,2,s,"n,w",160,0
202,2,s,"n,e",190,0
203,2,s,"s,w",175,0
204,2,s,e,190,0
205,2,s,w,135,0
206,2,d,"n,e,s",335,0
208,2,s,e,140,0
209,2,s,w,125,0
210,2,s,e,140,0
211,2,d,e,250,0
212,2,s,e,170,0
213,2,s,w,125,0
214,2,d,e,205,0
215,2,s,w,160,0
216,2,s,e,170,0
217,2,s,w,160,0
218,2,s,e,195,0
220,2,d,"e,s",215,0
221,2,s,n,185,0
222,2,s,s,170,0
223,2,d,"n,w",225,0
224,2,d,"s,w",220,0
301,3,s,"n,e",160,0
302,3,s,"n,w",190,0
303,3,s,"s,w",140,0
304,3,s,e,185,0
305,3,s,e,135,0
306,3,s,w,135,0
309,3,s,e,140,0
310,3,s,w,150,0
313A,3,s,n,95,0
313B,3,d,"n,e",250,0
313C,3,d,e,300,0
314,3,s,w,140,0
315,3,d,e,225,0
316,3,s,w,130,0
317,3,s,e,225,0
318,3,s,w,155,0
319,3,s,"e,s",270,0
320,3,s,n,150,0
321,3,d,s,230,0
322,3,s,"n,w",180,0
323,3,s,"s,w",175,0
