number,floor,single_or_double,faces,area,common_room_access
101,1,d,"n,w",185,1
102,1,s,w,140,1
104,1,s,w,105,1
105,1,d,w,175,1
106,1,d,w,180,1
107,1,d,"s,w",225,1
108,1,d,"s,e",200,1
109,1,s,e,140,1
113,1,d,e,190,1
114,1,s,e,150,1
115,1,d,"n,e",190,1
201,2,d,"n,w",190,0
202,2,s,w,140,0
204,2,s,w,105,0
205,2,s,w,175,0
206,2,d,w,180,0
207,2,d,"s,w",220,0
208,2,d,"s,e",200,0
209,2,s,e,140,0
210,2,s,e,140,0
211,2,s,e,150,0
212,2,s,e,160,0
213,2,d,e,195,0
214,2,s,e,150,0
215,2,d,"n,e",185,0
301,3,d,"n,w",190,0
302,3,s,w,140,0
304,3,s,w,105,0
305,3,s,w,175,0
306,3,d,w,180,0
307,3,d,"s,w",220,0
308,3,d,"s,e",200,0
309,3,s,e,140,0
310,3,s,e,140,0
311,3,s,e,150,0
312,3,s,e,160,0
313,3,d,e,195,0
314,3,s,e,150,0
315,3,d,"n,e",180,0
