number,floor,single_or_double,faces,area,common_room_access
101,1,s,"n,w",195,0
102,1,s,w,170,0
103,1,s,w,145,0
104,1,d,w,190,0
105,1,s,w,165,0
106,1,s,w,170,0
107,1,d,w,175,0
108,1,s,w,180,0
109,1,d,"s,w",235,0
110,1,d,"s,e",225,0
111,1,s,e,165,0
112,1,d,e,190,0
113,1,s,e,160,0
115,1,s,e,110,0
116,1,d,e,220,0
117,1,d,"n,e",245,0
201,2,s,"n,w",200,0
202,2,s,w,180,0
203,2,s,w,150,0
204,2,d,w,200,0
205,2,s,w,165,0
206,2,s,w,165,0
207,2,d,w,180,0
208,2,s,w,180,0
209,2,d,"s,w",220,0
210,2,d,"s,e",225,0
211,2,s,e,165,0
212,2,d,e,190,0
213,2,s,e,160,0
215,2,s,e,115,0
216,2,d,e,220,0
217,2,d,"n,e",245,0
301,3,s,"n,w",225,0
302,3,s,w,180,0
303,3,s,w,140,0
304,3,d,w,200,0
305,3,s,w,165,0
306,3,s,w,165,0
307,3,d,w,190,0
308,3,s,w,160,0
309,3,d,"s,w",220,0
310,3,d,"s,e",225,0
311,3,s,e,175,0
312,3,d,e,195,0
313,3,s,e,160,0
315,3,s,e,115,0
316,3,d,e,225,0
317,3,d,"n,e",230,0
