number,floor,single_or_double,faces,area,common_room_access
101,1,d,"s,w",290,1
101A,1,d,s,85,1
102A,1,s,e,110,1
102B,1,s,e,130,1
104A,1,s,e,115,1
104B,1,s,e,115,1
104C,1,s,w,150,1
106A,1,s,e,125,1
106B,1,s,e,125,1
106C,1,s,w,150,1
107,1,s,"n,w",145,0
109,1,d,"e,n",290,0
110,1,s,"e,s",215,0
201A,2,s,e,105,1
201B,2,s,e,130,1
202A,2,s,w,105,1
202B,2,s,w,85,1
203A,2,s,e,115,1
203B,2,s,e,115,1
206A,2,s,e,115,1
206B,2,s,e,115,1
208,2,s,w,170,0
209,2,d,"w,n",260,0
211,2,d,"n,e",260,0
212,2,d,"e,s",230,0
301A,3,s,e,110,1
301B,3,s,e,135,1
302A,3,s,w,110,1
302B,3,s,w,90,1
303A,3,s,e,120,1
303B,3,s,e,120,1
306A,3,s,e,120,1
306B,3,s,e,120,1
308,3,s,w,180,0
309,3,d,"w,n",270,0
311,3,d,"n,e",270,0
312,3,d,"e,s",240,0
