number,floor,single_or_double,faces,area,common_room_access
101,1,s,"e,s,w",170,1
102,1,s,w,110,1
103,1,s,"w,n",110,1
111,1,s,n,110,1
113,1,s,n,125,1
114,1,s,w,100,1
115,1,s,w,155,1
116,1,d,w,320,1
118,1,s,e,160,1
119,1,s,e,105,1
201,2,s,s,130,0
202,2,s,w,115,0
203,2,s,n,160,0
205,2,s,n,145,0
207,2,s,w,170,0
208,2,d,w,215,0
210,2,d,"n,e",125,0
211,2,s,e,150,0
212,2,s,e,150,0
213,2,d,e,170,0
214,2,s,e,100,0
215,2,s,e,100,0
216,2,s,"s,e",185,0
217,2,s,s,135,0
218,2,s,s,130,0
219,2,s,s,154,0
220,2,s,s,145,0
301,3,d,s,225,0
302,3,s,n,125,0
306,3,d,s,205,0
307,3,d,e,210,0
308,3,s,"s,e",135,0
309,3,s,e,100,0
310,3,s,n,140,0
