number,floor,single_or_double,faces,area,common_room_access
101A,1,s,"n,w",85,1
101B,1,s,n,85,1
103A,1,s,n,80,1
103B,1,s,n,95,1
103C,1,s,s,120,1
104A,1,s,n,90,1
104B,1,s,n,95,1
104C,1,s,s,120,1
106A,1,s,"n,e",85,1
106B,1,s,n,85,1
201A,2,s,"n,w",85,1
201B,2,s,n,85,1
203A,2,s,n,80,1
203B,2,s,n,95,1
203C,2,s,s,120,1
204A,2,s,n,90,1
204B,2,s,n,95,1
204C,2,s,s,120,1
206A,2,s,"n,e",85,1
206B,2,s,n,85,1
301A,3,s,"n,w",85,1
301B,3,s,n,85,1
303,3,s,n,80,1
304,3,s,s,110,1
305,3,s,n,95,1
306,3,s,s,110,1
307,3,s,n,95,1
308,3,s,s,120,1
309,3,s,n,90,1
310,3,s,s,110,1
312A,3,s,"n,e",85,1
312B,3,s,n,85,1
