number,floor,single_or_double,faces,area,common_room_access
17A,1,d,s,245,1
17B,1,d,w,170,1
A21,2,s,n,130,1
A22,2,s,n,130,1
A23,2,s,n,100,1
A24,2,s,n,100,1
A25,2,s,s,100,1
A26,2,s,s,100,1
B21,2,s,w,100,1
B22,2,s,w,100,1
B23,2,s,s,100,1
B24,2,s,s,100,1
B25,2,s,s,100,1
B26,2,s,s,100,1
C21,2,s,e,100,1
C22,2,s,e,100,1
C23,2,s,e,100,1
C24,2,s,e,100,1
C25,2,s,w,100,1
C26,2,s,w,100,1
D21,2,s,e,130,1
D22,2,s,e,130,1
D23,2,s,e,100,1
D24,2,s,e,100,1
D25,2,s,w,100,1
D26,2,s,w,100,1
A31,3,s,n,130,1
A32,3,s,n,130,1
A33,3,s,n,100,1
A34,3,s,n,100,1
A35,3,s,s,100,1
A36,3,s,s,100,1
B31,3,s,w,100,1
B32,3,s,w,100,1
B33,3,s,s,100,1
B34,3,s,s,100,1
B35,3,s,s,100,1
B36,3,s,s,100,1
C31,3,s,e,100,1
C32,3,s,e,100,1
C33,3,s,e,100,1
C34,3,s,e,100,1
C35,3,s,w,100,1
C36,3,s,w,100,1
D31,3,s,e,130,1
D32,3,s,e,130,1
D33,3,s,e,100,1
D34,3,s,e,100,1
D35,3,s,w,100,1
D36,3,s,w,100,1
A41,4,s,n,130,1
A42,4,s,n,130,1
A43,4,s,n,100,1
A44,4,s,n,100,1
A45,4,s,s,100,1
A46,4,s,s,100,1
B41,4,s,w,100,1
B42,4,s,w,100,1
B43,4,s,s,100,1
B44,4,s,s,100,1
B45,4,s,s,100,1
B46,4,s,s,100,1
C41,4,s,e,100,1
C42,4,s,e,100,1
C43,4,s,e,100,1
C44,4,s,e,100,1
C45,4,s,w,100,1
C46,4,s,w,100,1
D41,4,s,e,130,1
D42,4,s,e,130,1
D43,4,s,e,100,1
D44,4,s,e,100,1
D45,4,s,w,100,1
D46,4,s,w,100,1
