number,floor,single_or_double,faces,area,common_room_access
007,0,s,n,105,1
006,0,d,s,215,1
008,0,d,s,220,1
010,0,d,s,245,1
101,1,s,"e,n",160,0
102,1,s,"n,w",125,0
103,1,s,w,90,0
104,1,d,"w,s",165,0
105,1,s,s,130,0
106,1,s,s,115,0
108,1,s,s,115,0
109,1,s,n,145,0
110,1,s,s,120,0
111,1,s,n,125,0
112,1,s,s,115,0
113,1,s,s,100,0
114,1,s,s,100,0
116,1,s,s,115,0
117,1,s,s,115,0
118,1,s,n,150,0
119,1,s,s,105,0
120,1,s,s,135,0
121,1,s,s,125,0
122,1,s,"s,e",140,0
123,1,s,"e,n",115,0
125,1,s,"w,n",150,0
127,1,s,e,100,0
128,1,s,"e,n",135,0
201,2,d,"w,n",185,0
202,2,d,"n,e",185,0
204,2,s,w,125,0
205,2,s,"w,s",145,0
206,2,s,s,135,0
208,2,s,s,115,0
209,2,s,n,120,0
210,2,s,s,115,0
211,2,s,s,120,0
212,2,d,n,190,0
213,2,s,s,115,0
214,2,s,s,100,0
215,2,s,s,110,0
217,2,s,s,115,0
218,2,s,s,115,0
219,2,s,n,120,0
220,2,s,s,115,0
221,2,s,s,105,0
223,2,s,s,135,0
224,2,s,"s,e",140,0
225,2,s,e,115,0
226,2,s,"w,n",150,0
228,2,s,e,100,0
229,2,s,"e,n",135,0
301,3,s,"w,n",120,0
302,3,s,"n,e",155,0
303,3,s,w,90,0
305,3,s,w,120,0
306,3,s,"w,s",145,0
307,3,s,s,135,0
309,3,s,s,115,0
310,3,s,s,115,0
311,3,s,n,120,0
312,3,s,s,120,0
313,3,d,n,190,0
314,3,s,s,115,0
315,3,s,s,100,0
316,3,s,s,110,0
318,3,s,s,115,0
319,3,s,s,115,0
320,3,s,n,120,0
321,3,s,s,115,0
322,3,s,s,110,0
324,3,s,s,135,0
325,3,s,"s,e",140,0
326,3,s,e,115,0
327,3,s,"n,w",150,0
329,3,s,e,100,0
330,3,s,"e,n",135,0
401,4,s,w,135,0
402,4,d,"n,e",255,0
405,4,s,w,140,0
406,4,s,s,135,0
407,4,s,n,95,0
408,4,s,s,125,0
409,4,s,n,110,0
410,4,s,s,95,0
411,4,s,s,95,0
413,4,s,s,100,0
414,4,s,n,125,0
415,4,s,s,100,0
416,4,s,s,100,0
417,4,s,n,105,0
418,4,s,s,110,0
420,4,s,s,95,0
422,4,s,s,95,0
423,4,s,s,100,0
424,4,s,n,100,0
425,4,s,s,150,0
426,4,s,e,135,0
429,4,s,"e,n",145,0
430,4,d,n,215,0
