number,floor,single_or_double,faces,area,common_room_access
001,0,s,e,110,1
002,0,s,s,125,1
003,0,s,s,125,1
005,0,s,s,135,1
006,0,s,s,105,1
007,0,s,s,105,1
008,0,s,s,135,1
011,0,s,s,105,1
013,0,s,s,135,1
015,0,s,s,125,1
016,0,s,s,125,1
017,0,s,w,110,1
101,1,s,e,110,1
103,1,s,s,125,1
104,1,s,s,125,1
105,1,s,s,135,1
106,1,s,s,105,1
108,1,s,s,105,1
110,1,s,s,135,1
112,1,s,s,135,1
114,1,s,s,135,1
115,1,s,s,125,1
116,1,s,s,125,1
118,1,s,w,110,1
119,1,s,w,110,1
120,1,s,n,125,1
121,1,s,n,125,1
122,1,s,n,125,1
129,1,s,n,125,1
130,1,s,n,125,1
131,1,s,n,125,1
132,1,s,e,110,1
201,2,s,e,110,1
203,2,s,s,125,1
204,2,s,s,125,1
205,2,s,s,135,1
206,2,s,s,105,1
209,2,s,s,105,1
210,2,s,s,135,1
212,2,s,s,135,1
214,2,s,s,135,1
215,2,s,s,125,1
216,2,s,s,125,1
218,2,s,w,110,1
219,2,s,w,110,1
220,2,s,n,125,1
221,2,s,n,125,1
222,2,s,n,125,1
223,2,s,n,105,1
224,2,s,n,105,1
225,2,s,n,135,1
226,2,s,n,135,1
229,2,s,n,135,1
230,2,s,n,125,1
231,2,s,n,125,1
232,2,s,e,110,1
301,3,s,e,110,1
303,3,s,s,125,1
304,3,s,s,125,1
305,3,s,s,135,1
306,3,s,s,105,1
309,3,s,s,105,1
310,3,s,s,135,1
312,3,s,s,135,1
314,3,s,s,135,1
315,3,s,s,125,1
316,3,s,s,125,1
318,3,s,w,110,1
319,3,s,w,110,1
320,3,s,n,125,1
321,3,s,n,125,1
322,3,s,n,125,1
323,3,s,n,105,1
324,3,s,n,105,1
325,3,s,n,135,1
326,3,s,n,135,1
329,3,s,n,135,1
330,3,s,n,125,1
331,3,s,n,125,1
332,3,s,e,110,1
401,4,s,e,110,1
403,4,s,s,125,1
404,4,s,s,125,1
405,4,s,s,135,1
406,4,s,s,105,1
409,4,s,s,105,1
410,4,s,s,135,1
412,4,s,s,135,1
414,4,s,s,135,1
415,4,s,s,125,1
416,4,s,s,125,1
418,4,s,w,110,1
419,4,s,w,110,1
420,4,s,n,125,1
421,4,s,n,125,1
422,4,s,n,125,1
423,4,s,n,105,1
424,4,s,n,105,1
425,4,s,n,135,1
426,4,s,n,135,1
429,4,s,n,135,1
430,4,s,n,125,1
431,4,s,n,125,1
432,4,s,e,110,1
501,5,s,e,110,1
503,5,s,s,125,1
504,5,s,s,125,1
505,5,s,s,135,1
506,5,s,s,105,1
509,5,s,s,105,1
510,5,s,s,135,1
512,5,s,s,135,1
514,5,s,s,135,1
515,5,s,s,125,1
516,5,s,s,125,1
518,5,s,w,110,1
519,5,s,w,110,1
520,5,s,n,125,1
521,5,s,n,125,1
522,5,s,n,125,1
523,5,s,n,105,1
524,5,s,n,105,1
525,5,s,n,135,1
526,5,s,n,135,1
529,5,s,n,135,1
530,5,s,n,125,1
531,5,s,n,125,1
532,5,s,e,110,1
