number,floor,single_or_double,faces,area,common_room_access
104,1,s,w,175,0
106,1,d,"w,n",180,0
108,1,d,s,245,0
114,1,d,s,210,1
115,1,d,"s,e",115,1
120,1,s,n,140,0
122,1,s,n,165,0
124,1,s,"e,s",140,0
125,1,s,s,90,0
126,1,s,s,145,0
127,1,s,s,150,0
202,2,d,w,180,1
203,2,s,w,125,1
204,2,s,w,165,1
206,2,s,w,165,1
207,2,d,"w,n",205,1
209,2,d,e,235,1
213,2,s,e,105,1
214,2,s,e,105,1
215,2,s,"e,s",115,1
302,3,s,"w,s",165,0
303,3,s,w,105,0
304,3,s,w,115,0
306,3,s,"w,n",145,0
308,3,s,e,175,0
313,3,s,"e,s",175,0
