number,floor,single_or_double,faces,area,common_room_access
101,1,d,n,310,1
102,1,d,s,260,1
201,2,d,n,325,0
202,2,d,e,220,0
203,2,d,s,270,0
204,2,s,s,145,0
205,2,s,s,145,0
206,2,s,s,140,0
207,2,d,s,195,0
208,2,d,s,230,0
209,2,d,n,235,0
210,2,s,n,210,0
211,2,s,n,165,0
212,2,s,n,170,0
213,2,s,n,165,0
214,2,s,"n,w",140,1
216,2,s,s,150,1
302,3,s,"s,e",275,0
303,3,s,s,85,0
304,3,s,s,85,0
305B,3,s,"s,w",135,0
305A,3,s,"n,w",125,0
306,3,s,"n,w",110,0
307,3,s,"n,w",100,0
308,3,s,"n,w",135,0
309,3,s,"n,w",140,0
310,3,s,"n,w",120,0
311,3,s,"n,w",170,1
312,3,s,"e,s",195,1
