number,floor,single_or_double,faces,area,common_room_access
101,1,s,"s,w",110,1
102,1,s,w,140,1
104,1,s,w,100,1
105,1,s,w,100,1
106,1,s,w,140,1
107,1,s,"w,n",140,1
108,1,s,"n,e",125,1
109,1,s,e,115,1
112,1,s,"s,e",135,1
201,2,s,"s,w",155,0
202,2,s,w,155,0
203,2,s,w,135,0
204,2,s,w,160,0
205,2,s,w,150,0
206,2,s,"w,n",150,0
207,2,d,"n,e",180,0
208,2,s,e,130,0
209,2,s,e,130,0
210,2,d,e,185,0
211,2,s,e,130,0
212,2,d,"e,s",185,0
301,3,s,"s,w",155,0
302,3,s,w,155,0
303,3,s,w,135,0
304,3,s,w,160,0
305,3,s,w,150,0
306,3,s,"w,n",150,0
307,3,d,"n,e",180,0
308,3,s,e,130,0
309,3,s,e,130,0
310,3,d,e,185,0
311,3,s,e,130,0
312,3,s,"e,s",185,0
401,4,s,"s,w",155,0
402,4,s,w,155,0
403,4,s,w,135,0
404,4,s,w,160,0
405,4,s,w,150,0
406,4,s,"w,n",150,0
407,4,d,"n,e",180,0
408,4,s,e,130,0
409,4,s,e,130,0
410,4,d,e,185,0
411,4,s,e,130,0
412,4,s,"e,s",185,0
